"","state","regiao","date","casosNovos","obitosNovos","confirmed","deaths","estimated_population_2019","city_ibge_code"
"1","AC","Norte","2020-01-30",0,0,0,0,881935,12
"2","AC","Norte","2020-01-31",0,0,0,0,881935,12
"3","AC","Norte","2020-02-01",0,0,0,0,881935,12
"4","AC","Norte","2020-02-02",0,0,0,0,881935,12
"5","AC","Norte","2020-02-03",0,0,0,0,881935,12
"6","AC","Norte","2020-02-04",0,0,0,0,881935,12
"7","AC","Norte","2020-02-05",0,0,0,0,881935,12
"8","AC","Norte","2020-02-06",0,0,0,0,881935,12
"9","AC","Norte","2020-02-07",0,0,0,0,881935,12
"10","AC","Norte","2020-02-08",0,0,0,0,881935,12
"11","AC","Norte","2020-02-09",0,0,0,0,881935,12
"12","AC","Norte","2020-02-10",0,0,0,0,881935,12
"13","AC","Norte","2020-02-11",0,0,0,0,881935,12
"14","AC","Norte","2020-02-12",0,0,0,0,881935,12
"15","AC","Norte","2020-02-13",0,0,0,0,881935,12
"16","AC","Norte","2020-02-14",0,0,0,0,881935,12
"17","AC","Norte","2020-02-15",0,0,0,0,881935,12
"18","AC","Norte","2020-02-16",0,0,0,0,881935,12
"19","AC","Norte","2020-02-17",0,0,0,0,881935,12
"20","AC","Norte","2020-02-18",0,0,0,0,881935,12
"21","AC","Norte","2020-02-19",0,0,0,0,881935,12
"22","AC","Norte","2020-02-20",0,0,0,0,881935,12
"23","AC","Norte","2020-02-21",0,0,0,0,881935,12
"24","AC","Norte","2020-02-22",0,0,0,0,881935,12
"25","AC","Norte","2020-02-23",0,0,0,0,881935,12
"26","AC","Norte","2020-02-24",0,0,0,0,881935,12
"27","AC","Norte","2020-02-25",0,0,0,0,881935,12
"28","AC","Norte","2020-02-26",0,0,0,0,881935,12
"29","AC","Norte","2020-02-27",0,0,0,0,881935,12
"30","AC","Norte","2020-02-28",0,0,0,0,881935,12
"31","AC","Norte","2020-02-29",0,0,0,0,881935,12
"32","AC","Norte","2020-03-01",0,0,0,0,881935,12
"33","AC","Norte","2020-03-02",0,0,0,0,881935,12
"34","AC","Norte","2020-03-03",0,0,0,0,881935,12
"35","AC","Norte","2020-03-04",0,0,0,0,881935,12
"36","AC","Norte","2020-03-05",0,0,0,0,881935,12
"37","AC","Norte","2020-03-06",0,0,0,0,881935,12
"38","AC","Norte","2020-03-07",0,0,0,0,881935,12
"39","AC","Norte","2020-03-08",0,0,0,0,881935,12
"40","AC","Norte","2020-03-09",0,0,0,0,881935,12
"41","AC","Norte","2020-03-10",0,0,0,0,881935,12
"42","AC","Norte","2020-03-11",0,0,0,0,881935,12
"43","AC","Norte","2020-03-12",0,0,0,0,881935,12
"44","AC","Norte","2020-03-13",0,0,0,0,881935,12
"45","AC","Norte","2020-03-14",0,0,0,0,881935,12
"46","AC","Norte","2020-03-15",0,0,0,0,881935,12
"47","AC","Norte","2020-03-16",0,0,0,0,881935,12
"48","AC","Norte","2020-03-17",0,0,0,0,881935,12
"49","AC","Norte","2020-03-18",0,0,0,0,881935,12
"50","AC","Norte","2020-03-19",3,0,3,0,881935,12
"51","AC","Norte","2020-03-20",4,0,7,0,881935,12
"52","AC","Norte","2020-03-21",2,0,9,0,881935,12
"53","AC","Norte","2020-03-22",2,0,11,0,881935,12
"54","AC","Norte","2020-03-23",0,0,11,0,881935,12
"55","AC","Norte","2020-03-24",6,0,17,0,881935,12
"56","AC","Norte","2020-03-25",6,0,23,0,881935,12
"57","AC","Norte","2020-03-26",1,0,24,0,881935,12
"58","AC","Norte","2020-03-27",1,0,25,0,881935,12
"59","AC","Norte","2020-03-28",0,0,25,0,881935,12
"60","AC","Norte","2020-03-29",9,0,34,0,881935,12
"61","AC","Norte","2020-03-30",8,0,42,0,881935,12
"62","AC","Norte","2020-03-31",0,0,42,0,881935,12
"63","AC","Norte","2020-04-01",1,0,43,0,881935,12
"64","AC","Norte","2020-04-02",0,0,43,0,881935,12
"65","AC","Norte","2020-04-03",3,0,46,0,881935,12
"66","AC","Norte","2020-04-04",0,0,46,0,881935,12
"67","AC","Norte","2020-04-05",2,0,48,0,881935,12
"68","AC","Norte","2020-04-06",2,0,50,0,881935,12
"69","AC","Norte","2020-04-07",0,1,50,1,881935,12
"70","AC","Norte","2020-04-08",4,1,54,2,881935,12
"71","AC","Norte","2020-04-09",8,0,62,2,881935,12
"72","AC","Norte","2020-04-10",8,0,70,2,881935,12
"73","AC","Norte","2020-04-11",2,0,72,2,881935,12
"74","AC","Norte","2020-04-12",5,0,77,2,881935,12
"75","AC","Norte","2020-04-13",13,1,90,3,881935,12
"76","AC","Norte","2020-04-14",9,0,99,3,881935,12
"77","AC","Norte","2020-04-15",2,0,101,3,881935,12
"78","AC","Norte","2020-04-16",9,2,110,5,881935,12
"79","AC","Norte","2020-04-17",25,0,135,5,881935,12
"80","AC","Norte","2020-04-18",7,0,142,5,881935,12
"81","AC","Norte","2020-04-19",21,1,163,6,881935,12
"82","AC","Norte","2020-04-20",13,2,176,8,881935,12
"83","AC","Norte","2020-04-21",19,0,195,8,881935,12
"84","AC","Norte","2020-04-22",19,0,214,8,881935,12
"85","AC","Norte","2020-04-23",13,2,227,10,881935,12
"86","AC","Norte","2020-04-24",7,1,234,11,881935,12
"87","AC","Norte","2020-04-25",24,0,258,11,881935,12
"88","AC","Norte","2020-04-26",21,0,279,11,881935,12
"89","AC","Norte","2020-04-27",0,3,279,14,881935,12
"90","AC","Norte","2020-04-28",32,2,311,16,881935,12
"91","AC","Norte","2020-04-29",43,1,354,17,881935,12
"92","AC","Norte","2020-04-30",50,2,404,19,881935,12
"93","AC","Norte","2020-05-01",82,0,486,19,881935,12
"94","AC","Norte","2020-05-02",67,2,553,21,881935,12
"95","AC","Norte","2020-05-03",104,3,657,24,881935,12
"96","AC","Norte","2020-05-04",76,4,733,28,881935,12
"97","AC","Norte","2020-05-05",84,1,817,29,881935,12
"98","AC","Norte","2020-05-06",126,4,943,33,881935,12
"99","AC","Norte","2020-05-07",71,3,1014,36,881935,12
"100","AC","Norte","2020-05-08",163,2,1177,38,881935,12
"101","AC","Norte","2020-05-09",158,1,1335,39,881935,12
"102","AC","Norte","2020-05-10",112,2,1447,41,881935,12
"103","AL","Nordeste","2020-01-30",0,0,0,0,3337357,27
"104","AL","Nordeste","2020-01-31",0,0,0,0,3337357,27
"105","AL","Nordeste","2020-02-01",0,0,0,0,3337357,27
"106","AL","Nordeste","2020-02-02",0,0,0,0,3337357,27
"107","AL","Nordeste","2020-02-03",0,0,0,0,3337357,27
"108","AL","Nordeste","2020-02-04",0,0,0,0,3337357,27
"109","AL","Nordeste","2020-02-05",0,0,0,0,3337357,27
"110","AL","Nordeste","2020-02-06",0,0,0,0,3337357,27
"111","AL","Nordeste","2020-02-07",0,0,0,0,3337357,27
"112","AL","Nordeste","2020-02-08",0,0,0,0,3337357,27
"113","AL","Nordeste","2020-02-09",0,0,0,0,3337357,27
"114","AL","Nordeste","2020-02-10",0,0,0,0,3337357,27
"115","AL","Nordeste","2020-02-11",0,0,0,0,3337357,27
"116","AL","Nordeste","2020-02-12",0,0,0,0,3337357,27
"117","AL","Nordeste","2020-02-13",0,0,0,0,3337357,27
"118","AL","Nordeste","2020-02-14",0,0,0,0,3337357,27
"119","AL","Nordeste","2020-02-15",0,0,0,0,3337357,27
"120","AL","Nordeste","2020-02-16",0,0,0,0,3337357,27
"121","AL","Nordeste","2020-02-17",0,0,0,0,3337357,27
"122","AL","Nordeste","2020-02-18",0,0,0,0,3337357,27
"123","AL","Nordeste","2020-02-19",0,0,0,0,3337357,27
"124","AL","Nordeste","2020-02-20",0,0,0,0,3337357,27
"125","AL","Nordeste","2020-02-21",0,0,0,0,3337357,27
"126","AL","Nordeste","2020-02-22",0,0,0,0,3337357,27
