Regional;city;city_ibge_code;Região;Macro_Região
17;Alvorada do Sul;4100806;Norte;Norte
17;Assaí;4101903;Norte;Norte
17;Bela Vista do Paraíso;4102802;Norte;Norte
17;Cafeara;4103404;Norte;Norte
17;Cambé;4103701;Norte;Norte
17;Centenário do Sul;4105102;Norte;Norte
17;Florestópolis;4108007;Norte;Norte
17;Guaraci;4109203;Oeste;Oeste
17;Ibiporã;4109807;Norte;Norte
17;Jaguapitã;4111902;Norte;Norte
17;Jataizinho;4112702;Norte;Norte
17;Londrina;4113700;Norte;Norte
17;Lupionópolis;4113809;Norte;Norte
17;Miraselva;4116000;Norte;Norte
17;Pitangueiras;4119657;Norte;Norte
17;Porecatu;4120002;Norte;Norte
17;Prado Ferreira;4120333;Norte;Norte
17;Primeiro de Maio;4120507;Norte;Norte
17;Rolândia;4122404;Norte;Norte
17;Sertanópolis;4126504;Norte;Norte
17;Tamarana;4126678;Norte;Norte
